code,country,year,Perceived_opportunities,Perceived_capabilities,Fear_of_failure_rate,Entrepreneurial_intentions,Total_early_stage_Entrepreneurial_Activity,Established_Business_Ownership,Entrepreneurial_Employee_Activity,Female_Male_TEA,High_Job_Creation_Expectation,Business_Services_Sector,High_Status_to_Successful_Entrepreneurs,Entrepreneurship_as_a_Good_Career_Choice
374,Armenia,2019,53.89,70.0,48.22,32.2,20.97,7.84,0.59,0.64,30.55,7.55,73.41,87.24
61,Australia,2019,45.74,56.04,47.37,13.02,10.52,6.53,8.28,0.72,24.64,26.31,74.0,56.39
375,Belarus,2019,29.52,42.34,37.96,6.59,5.78,2.72,0.49,0.82,28.23,10.16,69.9,70.3
55,Brazil,2019,46.37,61.99,35.57,30.17,23.3,16.16,0.62,0.98,8.93,7.57,72.25,75.25
101,Canada,2019,67.08,56.8,47.17,11.86,18.16,7.44,5.4,0.71,21.18,12.24,79.9,69.21
56,Chile,2019,47.62,75.54,58.07,57.57,36.71,10.61,3.64,0.79,36.34,19.9,74.58,74.36
86,China,2019,74.86,67.35,44.65,21.42,8.66,9.33,0.16,0.84,19.52,10.62,92.42,79.32
57,Colombia,2019,46.68,72.37,32.69,35.47,22.28,4.27,0.91,0.88,35.53,13.17,65.42,63.82
385,Croatia,2019,55.66,71.19,50.66,20.57,10.47,3.57,5.93,0.61,25.12,31.22,46.45,61.49
357,Cyprus,2019,38.52,58.16,36.4,21.2,12.17,10.1,6.21,0.57,22.01,22.71,76.69,72.96
593,Ecuador,2019,55.85,78.28,35.11,42.5,36.2,14.69,1.29,0.86,23.85,8.07,71.88,72.26
20,Egypt,2019,73.53,67.26,54.79,61.58,6.67,1.5,0.23,0.44,37.83,2.61,86.15,79.97
49,Germany,2019,52.18,45.79,29.68,9.12,7.63,5.2,6.26,0.6,24.32,24.73,80.68,53.64
30,Greece,2019,49.86,51.64,40.62,12.43,8.22,14.33,1.87,0.87,14.75,18.1,49.33,49.56
502,Guatemala,2019,67.25,77.42,39.64,52.21,25.05,14.8,1.42,0.8,21.81,9.01,80.8,94.5
91,India,2019,83.1,85.2,62.37,33.3,14.97,11.92,0.17,0.75,10.64,2.3,92.3,89.54
98,Iran,2019,47.68,68.88,36.2,37.85,10.69,10.15,2.01,0.63,46.73,26.0,86.57,45.29
353,Ireland,2019,50.22,42.0,31.39,14.59,12.41,6.58,7.47,0.57,40.88,27.07,20.69,39.93
972,Israel,2019,46.0,43.34,55.36,21.2,12.69,5.45,5.75,0.69,21.73,27.06,84.13,64.21
39,Italy,2019,45.14,48.09,27.64,5.37,2.79,4.72,0.72,0.6,12.03,18.61,13.06,19.04
81,Japan,2019,10.56,13.98,43.51,4.34,5.35,6.95,1.9,0.37,27.71,19.85,62.65,24.6
962,Jordan,2019,40.57,61.72,54.35,29.05,9.11,6.55,0.69,0.59,14.97,5.06,85.18,76.29
371,Latvia,2019,35.55,56.97,46.59,23.24,15.43,12.91,4.33,0.58,36.3,23.55,60.28,56.82
352,Luxembourg,2019,58.01,48.49,45.65,12.92,10.2,4.65,6.65,0.69,30.76,35.31,81.35,58.95
261,Madagascar,2019,46.78,73.46,41.01,44.45,19.48,20.17,0.57,1.02,7.52,1.27,80.62,94.41
52,Mexico,2019,62.81,70.68,47.74,16.3,12.98,1.82,0.15,0.91,23.03,5.87,67.64,68.06
212,Morocco,2019,57.66,62.37,42.52,41.93,11.4,7.89,0.32,0.51,12.79,5.02,68.37,81.52
31,Netherlands,2019,64.58,41.92,27.13,9.18,10.38,10.81,5.99,0.8,18.53,22.34,76.38,85.83
389,North Macedonia,2019,50.49,60.87,47.22,20.28,6.18,8.0,1.63,0.36,30.14,12.02,67.98,68.01
